French Phrase|English Translation|Literal Translation
A bientôt|See you later.|To soon.
A ce soir|See you tonight.|To this evening.
A combien de kilomètres est la Pennsylvanie ?|How many kilometers is it to Pennsylvania?|At how many of kilometers is the Pennsylvania?
A demain|See you tomorrow.|To tomorrow.
A droite|On the right.|To right.
A gauche|On the left.|To left.
A l'aide|Help!|To the aid.
A l'extérieur de l'hôtel|Outside the hotel.|At the exterior of the hotel.
A peu près trois cents kilomètres|About 300 kilometers.|At little near three hundred kilometers.
A quelle école est-ce que tu es allé ?|What school did you go to?|At what school is it that you are gone?
A quelle heure est-ce arrivé ?|At what time did it happen?|At what hour is it arrived?
A quelle heure est-ce que ça commence ?|What time does it start?|At what hour is it that that starts?
A quelle heure est-ce que le film commence ?|What time does the movie start?|At what hour is it that the movie starts?
A quelle heure est-ce que le magasin ouvre ?|What time does the store open?|At what hour is it that the store opens?
A quelle heure est-ce que tu penses que tu vas arriver ?|What time do you think you'll arrive?|At what hour is it that you think that you go to arrive?
A quelle heure est-ce que tu t'es couché ?|What time did you go to sleep?|At what hour is it that you yourself are bedded?
A quelle heure est-ce que tu t'es levé ?|What time did you get up?|At what hour is it that you yourself are raised?
A quelle heure est-ce que tu t'es réveillé ?|What time did you wake up?|At what hour is it that you yourself are awakened?
A quelle heure est-ce que tu vas aller à la gare routière ?|What time are you going to the bus station?|At what hour is it that you go to go to the station road?
A quelle heure est-ce que tu vas au travail chaque jour ?|What time do you go to work everyday?|At what hour is it that you go to the work each day?
A quelle heure est-ce qu'ils arrivent ?|What time are they arriving?|At what hour is it that they arrive?
A quelle heure est-ce qu'on doit libérer la chambre ?|What time is check out?|At what hour is it that one must free the room?
A quelle heure ?|At what time?|At what hour?
A qui est ce livre ?|Whose book is that?|To whom is this book?
A qui voudrais-tu parler ?|Who would you like to speak to?|To whom would want you to speak?
A quoi tu penses ?|What are you thinking about?|At what you think?
A sept heures du matin ?|At 7 o'clock in the morning.|At seven hours of the morning?
A sept heures du soir|At 7 o'clock at night.|At seven hours of the evening.
A trois heures de l'après-midi|At 3 o'clock in the afternoon.|At three hours of the after-middle-day.
A trois heures|At 3 o'clock.|At three hours.
Allez tout droit|Go straight ahead.|Go all straight.
Allons voir|Let's go have a look.|Let’s go see.
Allons-y|Let's go.|Let’s go there.
Amy est la petite amie de John|Amy is John's girlfriend.|Amy is the little friend of John.
Appelle la police|Call the police.|Call the police.
Appelle-moi|Call me.|Call me.
Apporte-moi ma chemise s'il te plaît|Bring me my shirt please.|Bring me my shirt if it you pleases.
Arrête|Stop!|Stop.
As-tu besoin de quelque chose ?|Do you need anything?|Have you need of something?
As-tu peur ?|Are you afraid?|Have you fear?
As-tu reçu mon e-mail ?|Did you get my e-mail?|Have you received my email?
Au deuxième étage|On the second floor.|At the second floor.
Avez-vous besoin d'autre chose ?|Do you need anything else?|Have you need of other thing?
Bien sûr|Of course.|Well sure.
Bon après-midi|Good afternoon.|Good after-middle-day.
Bonjour, est-ce que Madame Smith est là, s'il vous plaît ?|Good day, Is Mrs. Smith there, please?|Good day, is it that Madam Smith is there, if it you pleases?
Bonjour|Good morning / Good day.|Good day.
Bonne chance|Good Luck.|Good luck.
Bonne idée|Good idea.|Good idea.
Bonsoir Monsieur|Good evening sir.|Good evening Mister.
Ça a l'air super|That looks great.|That has the air super.
Ça a l'air vieux|That looks old.|That has the air old.
Ça coûte vingt dollars de l'heure|It costs 20 dollars per hour.|That costs twenty dollars of the hour.
Ça dépend du temps|It depends on the weather.|That depends of the time/weather.
Ça dure combien de temps ?|How long is it?|That lasts how much of time?
Ça fait mal ici|It hurts here.|That makes bad/hurt here.
Ça ne marche pas|This doesn't work.|That not walks/works not.
Ça ne me fait rien|I don't mind.|That not me does nothing.
Ça prend combien de temps en voiture ?|How long does it take by car?|That takes how much of time in car?
Ça prend combien de temps pour aller en Georgie ?|How long does it take to get to Georgia?|That takes how much of time for to go in Georgia?
Ça prend combien de temps ?|How long will it take?|That takes how much of time?
Ça prend deux heures en voiture|It takes 2 hours by car.|That takes two hours in car.
Ça sent mauvais|That smells bad.|That smells bad.
Ça suffit|That's enough.|That suffices.
Ça va|I'm ok / Are you okay?|That goes.
Ça veut dire ami|That means friend.|That wants to say friend.
Ce n'est pas assez|That's not enough.|That not is not enough.
Ce n'est pas grave|Forget it / It's not serious.|That not is not grave/serious.
Ce n'est pas juste|That's not fair.|That not is not just/fair.
Ce n'est pas très cher|It's not very expensive.|That not is not very expensive.
Ce n'est pas vrai|That's not right / That's not true.|That not is not true.
Ce restaurant n'est pas cher|That restaurant is not expensive.|This restaurant not is not expensive.
Ce sont les mêmes|They're the same.|These are the same.
Certainement|Certainly!|Certainly.
Ces hommes parlent anglais|Those men are speaking English.|These men speak English.
Ces livres sont à vous|These books are yours.|These books are to you.
C'est à combien de distance de Chicago ?|How far is it to Chicago?|It is at how much of distance from Chicago?
C'est à combien de distance ?|How far is it?|It is at how much of distance?
C'est à moi|It's mine.|It is to me.
C'est au nord d'ici|It's north of here.|It is to the north of here.
C'est bon|It's ok / That's fine.|It is good.
C'est chambre est en désordre|This room is a mess.|This room is in disorder.
C'est combien pour aller à Miami ?|How much is it to go to Miami?|It is how much for to go to Miami?
C'est combien pour le tout ?|How much altogether?|It is how much for the all?
C'est combien ?|How much is it?|It is how much?
C'est dans la septième rue|It's on 7th street.|It is in the seventh street.
C'est délicieux|It's delicious!|It is delicious.
C'est dix-sept dollars|It's 17 dollars.|It is seventeen dollars.
C'est dommage|That's too bad.|It is damage/pity.
C'est faux|That's wrong.|It is false.
C'est huit heures quarante-cinq|It's 8:45.|It is eight hours forty-five.
C'est juste|That's fair / Correct.|It is just/correct.
C'est la première fois que je viens ici|This is the first time I've been here.|It is the first time that I come here.
C'est là|It's here / It's there.|It is there.
C'est là-bas|It's over there.|It is there-down.
C'est le vingt-cinq août|It's August 25th.|It is the twenty-five August.
C'est loin d'ici|It's far from here.|It is far from here.
C'est ma mère|This is my mother.|It is my mother.
C'est moins de cinq dollars|It's less than 5 dollars.|It is less of five dollars.
C'est moins de trois kilomètres|It's shorter than 3 miles.|It is less of three kilometers.
C'est Monsieur Smith|This is Mr. Smith.|It is Mister Smith.
C'est neuf heures et quart|It's a quarter past nine.|It is nine hours and quarter.
C'est onze heures et demie du soir|It's 11:30 p.m.|It is eleven hours and half of the evening.
C'est pas mal|That's alright / Not bad.|It is not bad.
C'est plus de cinq dollars|It's more than 5 dollars.|It is more of five dollars.
C'est plus long que deux kilomètres|It's longer than 2 miles.|It is more long than two kilometers.
C'est près du supermarché|It's near the Supermarket.|It is near of the supermarket.
C'est qui|Who is that?|It is who?
C'est sept heures moins quart|It's a quarter to 7.|It is seven hours minus quarter.
C'est six heures du matin|It's 6 a.m.|It is six hours of the morning.
C'est son livre|That's her book.|It is his/her book.
C'est tout|That's it.|It is all.
C'est très difficile|This is very difficult.|It is very difficult.
C'est très important|It's very important.|It is very important.
C'est trop cher|That's too expensive.|It is too expensive.
C'est trop loin|It's too far.|It is too far.
C'est trop tard|It's too late.|It is too late.
C'est trop|That's too many / too much.|It is too (much).
C'est une bonne école|That's a good school.|It is a good school.
C'est vrai|That's right / That's true.|It is true.
Cette maison est très grande|This house is very big.|This house is very big.
Cette voiture là-bas est à moi|That car over there is mine.|That car there-down is to me.
Cette voiture ressemble à ma voiture|That car is similar to my car.|This car resembles to my car.
Chaque jour je me lève à six heures du matin|Everyday I get up at 6 a.m.|Each day I myself raise at six hours of the morning.
Chaque semaine|Every week.|Each week.
Chicago est très différente de Boston|Chicago is very different from Boston.|Chicago is very different of Boston.
Combien de langues est-ce que tu parles ?|How many languages do you speak?|How many of languages is it that you speak?
Combien coûte ceci ?|How much is this?|How much costs this?
Combien coûte cela ?|How much is that?|How much costs that?
Combien coûtent ces boucles d'oreilles ?|How much are these earrings?|How much cost these buckles of ears?
Combien d'argent est-ce que vous avez ?|How much money do you have?|How much of money is it that you have?
Combien d'argent est-ce que vous gagnez ?|How much money do you make?|How much of money is it that you earn/win?
Combien de personnes est-ce qu'il y a à New York ?|How many people are there in New York?|How many of persons is it that it there has at New York?
Combien de personnes est-ce qu'il y a dans ta famille ?|How many people do you have in your family?|How many of persons is it that it there has in your family?
Combien de personnes ?|How many people?|How many of persons?
Combien de temps est-ce que tu vas rester ?|How long will you be staying?|How much of time is it that you go to stay?
Combien d'enfants est-ce tu as ?|How many children do you have?|How many of children is it (that) you have?
Combien d'heures par semaine est-ce que tu travailles ?|How many hours a week do you work?|How many of hours per week is it that you work?
Combien est-ce que ça coûte par jour ?|How much does it cost per day?|How much is it that that costs per day?
Combien est-ce que ça coûte ?|How much does this cost?|How much is it that that costs?
Combien est-ce que ça coûtera ?|How much will it cost?|How much is it that that will cost?
Combien est-ce que je vous dois ?|How much do I owe you?|How much is it that I you owe?
Combien mesures-tu ?|How tall are you?|How much measure you?
Combien voudrais-tu ?|How much would you like?|How much would want you?
Combien ?|How many?|How much?
Comment ça va ?|How are you?|How that goes?
Comment est-ce que je me rends à la rue Daniel ?|How do I get to Daniel Street?|How is it that I myself render to the street Daniel?
Comment est-ce que je me rends à l'Ambassade américaine ?|How do I get to the American Embassy?|How is it that I myself render to the embassy American?
Comment est-ce que je me sers de ça ?|How do I use this?|How is it that I myself serve of that?
Comment est-ce que je m'y rends ?|How do I get there?|How is it that I myself there render?
"Comment est-ce que tu épèles le mot ""Seattle"" ?"|How do you spell the word Seattle?|"How is it that you spell the word ""Seattle""?"
Comment est-ce que tu le dis en anglais ?|How do you say it in English?|How is it that you it say in English?
Comment est-ce que tu l'épèles ?|How do you spell it?|How is it that you it spell?
Comment est-ce que tu prononces ça ?|How do you pronounce that?|How is it that you pronounce that?
Comment est-ce que tu sais ?|How do you know?|How is it that you know?
Comment était le film ?|How was the movie?|How was the movie?
Comment était le voyage ?|How was the trip?|How was the voyage?
Comment réglez-vous ?|How are you paying?|How settle/pay you?
Comment s'appelle la compagnie pour laquelle tu travailles ?|What's the name of the company you work for?|How herself calls the company for which you work?
Comment t'appelles-tu ?|What's your name?|How yourself call you?
Comment va le travail ?|How's work going?|How goes the work?
Comment va-t-elle ?|How is she?|How goes she?
Comment vont les affaires ?|How's business?|How go the affairs?
Comment vont tes parents ?|How are your parents?|How go your parents?
D'accord|Okay.|Of agreement.
Dans la cinquième rue|At 5th street.|In the fifth street.
Dans quelle école est-ce qu'il va ?|Which school does he go to?|In what school is it that he goes?
Dans trente minutes|In 30 minutes.|In thirty minutes.
De quelle couleur est cette voiture ?|What color is that car?|Of what color is this car?
De quelle religion êtes-vous ?|What's your religion?|Of what religion are you?
De quoi est-ce que vous parlez tous les deux ?|What are you two talking about?|Of what is it that you speak all the two?
De rien|You're welcome.|Of nothing.
De temps en temps|From time to time.|Of time in time.
Dépêche-toi|Hurry!|Dispatch yourself.
Depuis combien de temps est tu es en Amérique ?|How long have you been in America?|Since how much of time is (it that) you are in America?
Depuis combien de temps est-ce que tu es ici ?|How long have you been here?|Since how much of time is it that you are here?
Depuis combien de temps est-ce que tu habites ici ?|How long have you lived here?|Since how much of time is it that you inhabit here?
Depuis combien de temps est-ce que tu travailles ici ?|How long have you worked here?|Since how much of time is it that you work here?
Derrière la banque|Behind the bank.|Behind the bank.
Dès que possible|As soon as possible.|From that possible.
Désolé de vous déranger|Sorry to bother you.|Desolated of you to disturb.
Désolé, je crois que j'ai un mauvais numéro|Sorry, I think I have the wrong number.|Desolated, I believe that I have a bad number.
Désolé, je n'ai pas bien entendu|Sorry, I didn't hear clearly.|Desolated, I not have not well heard.
Désolé, je n'ai pas de crayon|Sorry, I don't have a pencil.|Desolated, I not have not of pencil.
Désolés, nous acceptons seulement le liquide|Sorry, we only accept Cash.|Desolated (plural), we accept only the liquid.
Désolés, nous n'acceptons pas les cartes de crédit|Sorry, we don't accept credit cards.|Desolated (plural), we not accept not the cards of credit.
Désolés, nous n'en avons pas|Sorry, we don't have any.|Desolated (plural), we not of it have not.
Désolés, nous sommes complets|Sorry, we don't have any vacancies.|Desolated (plural), we are full/complete.
D'habitude je bois du café au petit déjeuner|I usually drink coffee at breakfast.|Of habit I drink some coffee at the little lunch.
D'ici à là-bas|From here to there.|From here to there-down.
Dis-lui que j'ai besoin de lui parler|Tell him that I need to talk to him.|Tell to him that I have need of to him to speak.
Dis-moi|Tell me.|Say to me.
Donne-moi le stylo|Give me the pen.|Give me the pen.
Donne-moi un coup de fil|Give me a call.|Give me a blow of wire/thread.
D'où viens-tu ?|Where are you from?|From where come you?
D'où vient-elle ?|Where is she from?|From where comes she?
D'où vient-il ?|Where is he from?|From where comes he?
Elle est jolie|She's pretty.|She is pretty.
Elle est plus âgée que moi|She's older than me.|She is more aged than me.
Elle est spécialiste|She's an expert.|She is specialist.
Elle va aller avec moi demain|She's going with me tomorrow.|She goes to go with me tomorrow.
Elle veut savoir quand vous allez venir|She wants to know when you're coming.|She wants to know when you go to come.
Emmenez-moi au centre ville|Take me downtown.|Lead me to the center town.
Emmenez-moi au Marriott Hotel|Take me to the Marriott Hotel.|Lead me to the Marriott Hotel.
En face de la poste|Across from the post office.|In face of the post office.
Enchanté|Nice to meet you.|Enchanted.
Essaie de le dire|Try to say it.|Try of it to say.
Essaie-le/la|Try it on / Try it.|Try it.
Est-ce que tu as fini d'étudier ?|Have you finished studying?|Is it that you have finished of to study?
Est-ce qu'il y a quelque chose de moins cher ?|Is there anything cheaper?|Is it that it there has something of less expensive?
Est-ce que ça peut être moins cher ?|Can it be cheaper?|Is it that that can to be less expensive?
Est-ce que ça suffit ?|Is that enough?|Is it that that suffices?
Est-ce que ça va ?|Is that ok?|Is it that that goes?
Est-ce que ce sont les mêmes ?|Are they the same?|Is it that these are the same?
Est-ce que ce stylo est à toi ?|Is this pen yours?|Is it that this pen is to you?
Est-ce que c'est chaud ?|Is it hot?|Is it that it is hot?
Est-ce que c'est le bus pour New York ?|Is this the bus to New York?|Is it that it is the bus for New York?
Est-ce que c'est loin d'ici ?|Is it far from here?|Is it that it is far from here?
Est-ce que c'est Monsieur Smith ?|Is this Mr. Smith?|Is it that it is Mister Smith?
Est-ce que c'est possible ?|Is it possible?|Is it that it is possible?
Est-ce que c'est près d'ici ?|Is it nearby?|Is it that it is near from here?
Est-ce que c'est près ?|Is it close?|Is it that it is near?
Est-ce que c'est prêt ?|Is it ready?|Is it that it is ready?
Est-ce que c'est ton livre ?|Is this your book?|Is it that it is your book?
Est-ce que c'est un endroit sans danger ?|Is this a safe area?|Is it that it is a place without danger?
Est-ce que cette route va à New York ?|Does this road go to New York?|Is it that this road goes to New York?
Est-ce que j'ai du courrier ?|Is there any mail for me?|Is it that I have some mail?
Est-ce que je devrais attendre ?|Should I wait?|Is it that I should wait?
Est-ce que je le prononce correctement ?|Am I pronouncing it correctly?|Is it that I it pronounce correctly?
Est-ce que je peux amener un ami ?|Can I bring my friend?|Is it that I can bring a friend?
Est-ce que je peux avoir accès à l'internet ici ?|Can I access the Internet here?|Is it that I can have access to the internet here?
Est-ce que je peux avoir l'addition s'il vous plaît ?|Can I have the bill please?|Is it that I can have the addition if it you pleases?
Est-ce que je peux avoir le menu s'il vous plaît ?|Can we have a menu please?|Is it that I can have the menu if it you pleases?
Est-ce que je peux avoir un reçu s'il vous plaît ?|Can I have a receipt please?|Is it that I can have a receipt if it you pleases?
Est-ce que je peux avoir un verre d'eau s'il vous plaît ?|Can I have a glass of water please?|Is it that I can have a glass of water if it you pleases?
Est-ce que je peux emprunter de l'argent ?|Can I borrow some money?|Is it that I can borrow some money?
Est-ce que je peux l'essayer ?|Can I try it on?|Is it that I can it try?
Est-ce que je peux me servir de ton téléphone ?|Can I use your phone?|Is it that I can me serve of your phone?
Est-ce que je peux prendre rendez-vous pour mercredi prochain ?|Can I make an appointment for next Wednesday?|Is it that I can take meeting for Wednesday next?
Est-ce que je peux prendre un message ?|Can I take a message?|Is it that I can take a message?
Est-ce que je peux voir votre passeport s'il vous plaît ?|Can I see your passport please?|Is it that I can see your passport if it you pleases?
Est-ce que je peux vous aider ?|Can I help you?|Is it that I can you help?
Est-ce que John est ici ?|Is John here?|Is it that John is here?
Est-ce que John est là s'il vous plaît ?|Is John there please?|Is it that John is there if it you pleases?
Est-ce que la banque est loin ?|Is the bank far?|Is it that the bank is far?
Est-ce que Monsieur Smith est un Américain ?|Is Mr. Smith an American?|Is it that Mister Smith is an American?
Est-ce que nous pouvons avoir un peu plus de pain s'il vous plaît ?|Can we have some more bread please?|Is it that we can have a little more of bread if it you pleases?
Est-ce que nous pouvons nous asseoir là-bas ?|Can we sit over there?|Is it that we can ourselves to sit there-down?
Est-ce que quelqu'un d'autre vient ?|Is anyone else coming?|Is it that someone of other comes?
Est-ce que ta femme a aimé la Floride ?|Did your wife like Florida?|Is it that your wife has liked the Florida?
Est-ce que tes enfants sont avec toi ?|Are your children with you?|Is it that your children are with you?
Est-ce que ton fils est ici ?|Is your son here?|Is it that your son is here?
Est-ce que ton frère est allé en Californie ?|Has your brother been to California?|Is it that your brother is gone in California?
Est-ce que ton mari est aussi de Boston ?|Is your husband also from Boston?|Is it that your husband is also from Boston?
Est-ce que ton père est à la maison ?|Is your father home?|Is it that your father is at the house?
Est-ce que tout va bien ?|Is everything ok?|Is it that all goes well?
Est-ce que tu aimes ce livre ?|Do you like the book?|Is it that you like this book?
Est-ce que tu aimes regarder la télé ?|Do you like to watch TV?|Is it that you like to watch the TV?
Est-ce que tu aimes tes collègues ?|Do you like your co-workers?|Is it that you like your colleagues?
Est-ce que tu aimes ton patron ?|Do you like your boss?|Is it that you like your boss?
Est-ce que tu as assez d'argent ?|Do you have enough money?|Is it that you have enough of money?
Est-ce que tu as de l'argent ?|Do you have any money?|Is it that you have of the money?
Est-ce que tu as déjà mangé de la soupe de pommes de terre ?|Have you ever had Potato soup?|Is it that you have already eaten of the soup of apples of earth?
Est-ce que tu as déjà mangé ?|Have you eaten yet?|Is it that you have already eaten?
Est-ce que tu as faim ?|Are you hungry?|Is it that you have hunger?
Est-ce que tu as fait ça avant ?|Have you done this before?|Is it that you have done that before?
Est-ce que tu as mangé dans ce restaurant ?|Have you eaten at that restaurant?|Is it that you have eaten in this restaurant?
Est-ce que tu as pris tes médicaments ?|Did you take your medicine?|Is it that you have taken your medicines?
Est-ce que tu as un crayon ?|Do you have a pencil?|Is it that you have a pencil?
Est-ce que tu as un petit ami ?|Do you have a boyfriend?|Is it that you have a little friend?
Est-ce que tu as un problème ?|Do you have a problem?|Is it that you have a problem?
Est-ce que tu as un rendez-vous ?|Do you have an appointment?|Is it that you have a meeting/appointment?
Est-ce que tu as une petite amie ?|Do you have a girlfriend?|Is it that you have a little friend?
Est-ce que tu as vu ce film ?|Have you seen this movie?|Is it that you have seen this movie?
Est-ce que tu attends quelqu'un ?|Are you waiting for someone?|Is it that you wait for someone?
Est-ce que tu comprends ?|Do you understand?|Is it that you understand?
Est-ce que tu en as un autre ?|Do you have another one?|Is it that you of it have another one?
Est-ce que tu es allé à Boston ?|Have you been to Boston?|Is it that you are gone to Boston?
Est-ce que tu es libre ce soir ?|Are you free tonight?|Is it that you are free this evening?
Est-ce que tu es prêt ?|Are you ready?|Is it that you are ready?
Est-ce que tu étudies l'anglais ?|Do you study English?|Is it that you study the English?
Est-ce que tu fais du sport ?|Do you play any sports?|Is it that you do of the sport?
Est-ce que tu fumes ?|Do you smoke?|Is it that you smoke?
Est-ce que tu joues au basket ?|Do you play basketball?|Is it that you play at the basket?
Est-ce que tu la connais ?|Do you know her?|Is it that you her know?
Est-ce que tu m'as envoyé des fleurs ?|Did you send me flowers?|Is it that you to me have sent some flowers?
Est-ce que tu penses que c'est possible ?|Do you think it's possible?|Is it that you think that it is possible?
Est-ce que tu penses que tu seras de retour d'ici onze heures trente ?|Do you think you'll be back by 11:30?|Is it that you think that you will be of return from here eleven hours thirty?
Est-ce que tu penses qu'il pleuvra aujourd'hui ?|Do you think it'll rain today?|Is it that you think that it will rain today?
Est-ce que tu penses qu'il va pleuvoir demain ?|Do you think it's going to rain tomorrow?|Is it that you think that it goes to rain tomorrow?
Est-ce que tu peux jeter ça pour moi ?|Can you throw that away for me?|Is it that you can throw that for me?
Est-ce que tu peux me donner un exemple ?|Can you give me an example?|Is it that you can me give an example?
Est-ce que tu peux me faire une faveur ?|Can you do me a favor?|Is it that you can me do a favor?
Est-ce que tu peux me montrer ?|Can you show me?|Is it that you can me show?
Est-ce que tu peux me rappeler plus tard ?|Can you call me back later?|Is it that you can me call back more late?
Est-ce que tu peux porter ça pour moi ?|Can you carry this for me?|Is it that you can carry that for me?
Est-ce que tu peux réparer ça ?|Can you fix this?|Is it that you can repair that?
Est-ce que tu peux répéter ça encore s'il te plaît ?|Can you please say that again?|Is it that you can repeat that again if it you pleases?
Est-ce que tu peux tenir ça pour moi ?|Can you hold this for me?|Is it that you can hold that for me?
Est-ce que tu peux traduire ça pour moi ?|Can you translate this for me?|Is it that you can translate that for me?
Est-ce que tu sais ce que ça dit ?|Do you know what this says?|Is it that you know that which that says?
Est-ce que tu sais ce que ça veut dire ?|Do you know what this means?|Is it that you know that which that wants to say?
Est-ce que tu sais combien ça coûte ?|Do you know how much it costs?|Is it that you know how much that costs?
Est-ce que tu sais cuisiner ?|Do you know how to cook?|Is it that you know to cook?
Est-ce que tu sais nager ?|Can you swim?|Is it that you know to swim?
Est-ce que tu sais où elle est ?|Do you know where she is?|Is it that you know where she is?
Est-ce que tu sais où sont mes lunettes ?|Do you know where my glasses are?|Is it that you know where are my glasses?
Est-ce que tu te plais ici ?|Do you like it here?|Is it that you yourself please here?
